Period,Volume (MWh),Price (â‚¬/MWh)
00:00-00:15,27.2,98.08
00:15-00:30,32.0,98.77
00:30-00:45,19.3,94.33
00:45-01:00,35.1,68.41
01:00-01:15,27.6,80.47
01:15-01:30,16.3,79.17
01:30-01:45,19.6,88.63
01:45-02:00,19.7,85.50
02:00-02:15,14.9,99.50
02:15-02:30,8.4,88.40
02:30-02:45,8.3,83.01
02:45-03:00,12.3,79.65
03:00-03:15,15.5,89.11
03:15-03:30,15.7,82.00
03:30-03:45,17.1,87.20
03:45-04:00,14.6,79.00
04:00-04:15,17.1,78.31
04:15-04:30,17.7,71.70
04:30-04:45,18.8,67.50
04:45-05:00,19.3,75.90
05:00-05:15,22.1,67.95
05:15-05:30,17.4,74.90
05:30-05:45,22.4,74.73
05:45-06:00,24.0,85.88
06:00-06:15,19.9,83.81
06:15-06:30,18.6,84.99
06:30-06:45,14.7,107.01
06:45-07:00,30.5,123.00
07:00-07:15,23.6,99.00
07:15-07:30,24.3,111.01
07:30-07:45,21.3,135.00
07:45-08:00,23.0,131.52
08:00-08:15,30.6,171.91
08:15-08:30,21.9,151.41
08:30-08:45,22.3,150.67
08:45-09:00,31.4,136.53
09:00-09:15,24.2,121.73
09:15-09:30,22.9,125.74
09:30-09:45,14.6,103.60
09:45-10:00,20.9,96.99
10:00-10:15,41.4,117.93
10:15-10:30,45.9,117.20
10:30-10:45,36.2,90.08
10:45-11:00,58.9,66.82
11:00-11:15,37.1,77.01
11:15-11:30,21.9,80.01
11:30-11:45,28.3,71.76
11:45-12:00,25.9,70.18
12:00-12:15,37.1,63.01
12:15-12:30,42.8,86.81
12:30-12:45,40.7,87.57
12:45-13:00,41.0,83.81
13:00-13:15,45.0,84.98
13:15-13:30,17.5,68.99
13:30-13:45,26.2,50.50
13:45-14:00,30.6,48.32
14:00-14:15,19.2,62.36
14:15-14:30,19.7,60.01
14:30-14:45,23.3,63.00
14:45-15:00,29.1,52.64
15:00-15:15,27.3,53.73
15:15-15:30,24.9,58.68
15:30-15:45,25.7,60.60
15:45-16:00,24.5,73.39
16:00-16:15,25.8,40.95
16:15-16:30,19.2,51.01
16:30-16:45,14.4,68.26
16:45-17:00,19.9,84.96
17:00-17:15,31.7,70.96
17:15-17:30,25.2,85.21
17:30-17:45,23.0,99.00
17:45-18:00,33.8,116.80
18:00-18:15,24.0,79.01
18:15-18:30,15.2,94.98
18:30-18:45,15.4,113.41
18:45-19:00,57.3,153.00
19:00-19:15,29.0,131.64
19:15-19:30,23.8,139.18
19:30-19:45,45.5,190.84
19:45-20:00,20.5,160.00
20:00-20:15,64.1,150.62
20:15-20:30,34.8,135.36
20:30-20:45,26.2,125.08
20:45-21:00,29.7,123.01
21:00-21:15,39.2,116.90
21:15-21:30,40.7,111.60
21:30-21:45,28.3,97.00
21:45-22:00,33.8,72.50
22:00-22:15,30.6,100.61
22:15-22:30,18.4,81.72
22:30-22:45,17.7,101.69
22:45-23:00,26.4,97.25
23:00-23:15,22.2,93.01
23:15-23:30,22.5,92.22
23:30-23:45,25.5,96.97
23:45-24:00,25.1,91.00
